Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Bolivia,BOL,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,24.2240372567879
Bolivia,BOL,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,32.9567614289426
Bolivia,BOL,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,20.2616960389374
Bolivia,BOL,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,23.167928845758
Bolivia,BOL,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,13.3725169498417
Bolivia,BOL,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,13.2145822115123
Bolivia,BOL,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Bolivia,BOL,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Bolivia,BOL,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Bolivia,BOL,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Bolivia,BOL,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4
Bolivia,BOL,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.3
Bolivia,BOL,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Bolivia,BOL,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.1
Bolivia,BOL,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.8
Bolivia,BOL,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.9
Bolivia,BOL,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Bolivia,BOL,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.2
Bolivia,BOL,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.2
Bolivia,BOL,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,89.9
Bolivia,BOL,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.1
Bolivia,BOL,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94
Bolivia,BOL,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,88.6
Bolivia,BOL,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.2
Bolivia,BOL,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.8
Bolivia,BOL,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.837216
Bolivia,BOL,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.1
Bolivia,BOL,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.815075
Bolivia,BOL,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.7
Bolivia,BOL,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.3611602783203
Bolivia,BOL,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93
Bolivia,BOL,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.038393
Bolivia,BOL,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.571038
Bolivia,BOL,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8
Bolivia,BOL,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9
Bolivia,BOL,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.6
Bolivia,BOL,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.2
Bolivia,BOL,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.1
Bolivia,BOL,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.8
Bolivia,BOL,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8
Bolivia,BOL,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8
Bolivia,BOL,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.5
Bolivia,BOL,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,90
Bolivia,BOL,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.5
Bolivia,BOL,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.4
Bolivia,BOL,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.3
Bolivia,BOL,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,88
Bolivia,BOL,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.8
Bolivia,BOL,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,84.7
Bolivia,BOL,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.2
Bolivia,BOL,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.2
Bolivia,BOL,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.3
Bolivia,BOL,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,75.9
Bolivia,BOL,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,72.3
Bolivia,BOL,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,64
Bolivia,BOL,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.3
Bolivia,BOL,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,70
Bolivia,BOL,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,70.929888
Bolivia,BOL,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.2
Bolivia,BOL,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,67.330431
Bolivia,BOL,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,71
Bolivia,BOL,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.0915298461914
Bolivia,BOL,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.1
Bolivia,BOL,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,61.3840293884277
Bolivia,BOL,1992,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.0279006958008
Bolivia,BOL,2021,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2020,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2019,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2018,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2017,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2016,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2013,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2012,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2011,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2010,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2009,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2008,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2007,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2006,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2005,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2004,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2003,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2002,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2001,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2000,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1999,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1998,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1997,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1996,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1995,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1994,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1993,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1992,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1991,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,1990,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Bolivia,BOL,2022,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,63.4028751753156
Bolivia,BOL,2021,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.7428072433128
Bolivia,BOL,2020,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,64.0809781519343
Bolivia,BOL,2019,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,63.4236693312536
Bolivia,BOL,2018,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,70.2943532238686
Bolivia,BOL,2017,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,74.6984193011647
Bolivia,BOL,2016,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,79.1877081766412
Bolivia,BOL,2015,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,70.3055801594331
Bolivia,BOL,2014,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,71.2581344902386
Bolivia,BOL,2013,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.0158244002042
Bolivia,BOL,2012,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,67.2763954270343
Bolivia,BOL,2011,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,65.8094435075885
Bolivia,BOL,2010,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.1169415292354
Bolivia,BOL,2009,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.8558356076417
Bolivia,BOL,2008,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,60.0370183409053
Bolivia,BOL,2007,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,56.5584296459365
Bolivia,BOL,2006,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,56.1578318055002
Bolivia,BOL,2005,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,58.8845918990434
Bolivia,BOL,2004,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,51.431718061674
Bolivia,BOL,2003,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,53.069671188779
Bolivia,BOL,2002,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,46.0692951015532
Bolivia,BOL,2001,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,45.1645315247425
Bolivia,BOL,2000,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,48.479381443299
Bolivia,BOL,1999,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,52.6410718886885
Bolivia,BOL,1998,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,56.711590296496
Bolivia,BOL,1997,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,53.5426267281106
Bolivia,BOL,1996,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.5398394070414
Bolivia,BOL,1995,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,56.6743954951971
Bolivia,BOL,1994,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,51.8413597733711
Bolivia,BOL,1993,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,41.7201056205206
Bolivia,BOL,1992,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,45.8540630182421
Bolivia,BOL,1991,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,41.1247803163445
Bolivia,BOL,1990,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,49.7304023226877
Bolivia,BOL,2022,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,24.9912342215989
Bolivia,BOL,2021,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,29.7453810092839
Bolivia,BOL,2020,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,29.4848667067549
Bolivia,BOL,2019,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,31.6923376876584
Bolivia,BOL,2018,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,26.1513816579896
Bolivia,BOL,2017,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,23.2217138103161
Bolivia,BOL,2016,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,18.4807134414956
Bolivia,BOL,2015,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,27.2697077059345
Bolivia,BOL,2014,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,27.1270185586888
Bolivia,BOL,2013,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,32.3506891271057
Bolivia,BOL,2012,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,31.6341627437794
Bolivia,BOL,2011,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,32.982012366498
Bolivia,BOL,2010,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,32.7136431784108
Bolivia,BOL,2009,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,36.8598490929523
Bolivia,BOL,2008,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,38.86925795053
Bolivia,BOL,2007,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,42.5426527242708
Bolivia,BOL,2006,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,43.0251096054205
Bolivia,BOL,2005,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,39.9755750050885
Bolivia,BOL,2004,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,47.3348017621145
Bolivia,BOL,2003,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,45.6886640607036
Bolivia,BOL,2002,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,52.6403823178017
Bolivia,BOL,2001,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,53.4790253705099
Bolivia,BOL,2000,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,50.1288659793814
Bolivia,BOL,1999,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,46.0190672507086
Bolivia,BOL,1998,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,41.9407008086253
Bolivia,BOL,1997,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,45.0748847926267
Bolivia,BOL,1996,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,44.0086473131563
Bolivia,BOL,1995,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,41.8350447167936
Bolivia,BOL,1994,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,46.600566572238
Bolivia,BOL,1993,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,56.6578649566201
Bolivia,BOL,1992,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,52.4461028192371
Bolivia,BOL,1991,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,57.2495606326889
Bolivia,BOL,1990,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,48.9423475736209
Bolivia,BOL,2022,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.02875175315568
Bolivia,BOL,2021,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.53019579005423
Bolivia,BOL,2020,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.83944678292243
Bolivia,BOL,2019,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.71514915188146
Bolivia,BOL,2018,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.84060873047657
Bolivia,BOL,2017,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.88103161397671
Bolivia,BOL,2016,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.59568067046309
Bolivia,BOL,2015,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.01240035429584
Bolivia,BOL,2014,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.09857797059532
Bolivia,BOL,2013,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.11179173047473
Bolivia,BOL,2012,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.168123739072
Bolivia,BOL,2011,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.186059584036
Bolivia,BOL,2010,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.7391304347826
Bolivia,BOL,2009,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.5267298121689
Bolivia,BOL,2008,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.5429917550059
Bolivia,BOL,2007,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.5758576407999
Bolivia,BOL,2006,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.6580310880829
Bolivia,BOL,2005,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.9912477101567
Bolivia,BOL,2004,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.0132158590308
Bolivia,BOL,2003,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.9910324212463
Bolivia,BOL,2002,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.063321385902
Bolivia,BOL,2001,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.0776186887717
Bolivia,BOL,2000,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.0824742268041
Bolivia,BOL,1999,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.4145838701366
Bolivia,BOL,1998,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.9676549865229
Bolivia,BOL,1997,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.6071428571429
Bolivia,BOL,1996,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.4576899320568
Bolivia,BOL,1995,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.560119244783
Bolivia,BOL,1994,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.570821529745
Bolivia,BOL,1993,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.2587702753678
Bolivia,BOL,1992,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.3864013266998
Bolivia,BOL,1991,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.9718804920914
Bolivia,BOL,1990,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,24.5956034840315
Bolivia,BOL,2022,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,61.4042776998597
Bolivia,BOL,2021,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,59.5275301038698
Bolivia,BOL,2020,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,61.2848266185608
Bolivia,BOL,2019,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,60.5673620588809
Bolivia,BOL,2018,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,67.4709651581898
Bolivia,BOL,2017,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,72.5249584026622
Bolivia,BOL,2016,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,77.0925110132159
Bolivia,BOL,2015,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,68.1465899025686
Bolivia,BOL,2014,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,69.0648348999759
Bolivia,BOL,2013,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,64.0760592138846
